dermoid cyst |2|9084/0, 9084/3, 
Tubular adenoma |4|8211/0, 8210/2, 8210/3, 8640/1, 
Intradermal nevus |1|8750/0, 
Squamous cell carcinoma |20|8052/2, 8052/3, 8070/2, 8070/3, 8070/6, 8071/3, 8072/3, 8073/3, 8074/3, 8075/3, 8076/2, 8076/3, 8078/3, 8083/3, 8084/3, 8045/3, 8051/3, 8081/2, 8094/3, 8560/3, 
keratotic type |0|
sebaceous hyperplasia |0|
Basal cell carcinoma |6|8090/3, 8091/3, 8092/3, 8093/3, 8097/3, 8094/3, 
Lymphohistiocytic perifolliculitis |0|
Fibrous papule |1|9160/0, 
lichenoid keratosis |0|
Solar elastosis |0|
telangiectasias |0|
Basal cell carcinoma, nodular type |0|
lipoma |9|8850/0, 8850/1, 8854/0, 8856/0, 8857/0, 8862/0, 8851/3, 8880/0, 8881/0, 
Compound nevus |1|8760/0, 
Dermatofibroma |1|8832/0, 
Infundibulocystic basal cell carcinoma |0|
seborrheic keratosis |0|
keratoacanthoma |0|
crateriform squamous cell carcinoma |0|
Hemangioma |10|9120/0, 9121/0, 9122/0, 9123/0, 9125/0, 9131/0, 9132/0, 9142/0, 9161/0, 8832/0, 
Irritation fibroma |0|
acantholytic squamous cell carcinoma |1|8075/3, 
Actinic (solar) keratosis |0|
Cellular dermatofibroma |0|
adenocarcinoma |88|8140/2, 8140/3, 8140/6, 8141/3, 8143/3, 8144/3, 8147/3, 8190/3, 8210/2, 8210/3, 8211/3, 8213/3, 8215/3, 8220/3, 8221/3, 8250/3, 8251/3, 8255/3, 8260/3, 8261/2, 8261/3, 8262/3, 8263/2, 8263/3, 8290/3, 8310/3, 8322/3, 8323/3, 8330/3, 8331/3, 8332/3, 8333/3, 8380/3, 8382/3, 8383/3, 8384/3, 8400/3, 8401/3, 8408/3, 8410/3, 8413/3, 8420/3, 8480/3, 8481/3, 8482/3, 8503/2, 8503/3, 8525/3, 8570/3, 8571/3, 8572/3, 8573/3, 8574/3, 8576/3, 8045/3, 8145/3, 8150/3, 8154/3, 8160/3, 8163/3, 8200/3, 8201/3, 8214/3, 8230/3, 8244/3, 8270/3, 8280/3, 8300/3, 8312/3, 8320/3, 8340/3, 8350/3, 8370/3, 8441/3, 8450/3, 8460/3, 8470/3, 8490/3, 8500/2, 8500/3, 8504/3, 8510/3, 8520/3, 8530/3, 8550/3, 8560/3, 9070/3, 9110/3, 
Leiomyoma |6|8890/0, 8891/0, 8892/0, 8893/0, 8898/1, 8894/0, 
Milium |0|
Pigmented nodular basal cell carcinoma |0|
lobular capillary hemangioma |0|
Pyogenic granuloma |0|
Cystic squamous cell carcinoma |0|
carcinoma |194|8010/2, 8010/3, 8010/6, 8012/3, 8013/3, 8014/3, 8015/3, 8020/3, 8021/3, 8022/3, 8030/3, 8031/3, 8032/3, 8033/3, 8034/3, 8035/3, 8041/3, 8042/3, 8043/3, 8044/3, 8045/3, 8046/3, 8050/2, 8050/3, 8051/3, 8052/2, 8052/3, 8070/2, 8070/3, 8070/6, 8071/3, 8072/3, 8073/3, 8074/3, 8075/3, 8076/2, 8076/3, 8078/3, 8082/3, 8083/3, 8084/3, 8090/3, 8091/3, 8092/3, 8093/3, 8094/3, 8095/3, 8097/3, 8098/3, 8110/3, 8120/2, 8120/3, 8121/3, 8122/3, 8123/3, 8124/3, 8130/2, 8130/3, 8131/3, 8145/3, 8163/3, 8170/3, 8171/3, 8172/3, 8173/3, 8174/3, 8175/3, 8180/3, 8200/3, 8201/2, 8201/3, 8214/3, 8230/2, 8230/3, 8231/3, 8244/3, 8246/3, 8247/3, 8252/3, 8253/3, 8254/3, 8265/3, 8270/3, 8272/3, 8280/3, 8281/3, 8300/3, 8312/3, 8314/3, 8315/3, 8316/3, 8317/3, 8318/3, 8319/3, 8320/3, 8335/3, 8337/3, 8340/3, 8342/3, 8343/3, 8344/3, 8345/3, 8346/3, 8347/3, 8350/3, 8370/3, 8390/3, 8407/3, 8430/3, 8452/3, 8453/2, 8453/3, 8461/3, 8490/3, 8490/6, 8500/2, 8500/3, 8502/3, 8504/2, 8504/3, 8507/2, 8508/3, 8510/3, 8512/3, 8513/3, 8514/3, 8520/2, 8520/3, 8521/3, 8522/2, 8522/3, 8523/3, 8524/3, 8530/3, 8541/3, 8543/3, 8550/3, 8552/3, 8560/3, 8562/3, 8575/3, 8586/3, 8589/3, 8640/3, 8941/3, 9070/3, 9390/3, 8081/2, 8102/3, 8141/3, 8144/3, 8150/3, 8154/3, 8160/3, 8190/3, 8210/2, 8210/3, 8211/3, 8240/3, 8249/3, 8250/3, 8251/3, 8255/3, 8260/3, 8290/3, 8310/3, 8322/3, 8330/3, 8331/3, 8332/3, 8380/3, 8400/3, 8410/3, 8420/3, 8441/3, 8460/3, 8470/3, 8480/3, 8481/3, 8501/2, 8503/2, 8503/3, 8573/3, 8574/3, 8576/3, 8585/3, 8620/3, 8982/3, 9071/3, 9072/3, 9081/3, 9101/3, 9110/3, 9270/3, 
Verruca vulgaris |0|
Desmoplastic trichoepithelioma |0|
angioma |1|9120/0, 
Blue nevus |3|8780/0, 8780/3, 8790/0, 
Neurofibroma |3|9540/0, 9541/0, 9550/0, 
Compound nevus with ascending cells (acral nevus) |0|
Trichoepithelioma |1|8100/0, 
Melanoma |21|8720/2, 8720/3, 8721/3, 8722/3, 8723/3, 8730/3, 8740/3, 8741/3, 8742/3, 8743/3, 8744/3, 8745/3, 8746/3, 8761/3, 8770/3, 8771/3, 8772/3, 8773/3, 8774/3, 8770/0, 9044/3, 
nevus |21|8720/0, 8722/0, 8723/0, 8726/0, 8727/0, 8730/0, 8740/0, 8740/3, 8750/0, 8760/0, 8761/0, 8761/1, 8761/3, 8762/1, 8770/0, 8771/0, 8772/0, 8780/0, 8780/3, 8790/0, 9160/0, 
Basal cell carcinoma, nodular |0|
Spongiotic dermatitis |0|
eosinophils |1|9871/3, 
actinic keratosis |0|
Psoriasiform keratosis |0|
junctional nevus |2|8740/0, 8740/3, 
lentigo |2|8742/2, 8742/3, 
Merkel cell carcinoma |1|8247/3, 
Neuroendocrine carcinoma |7|8013/3, 8246/3, 8041/3, 8240/3, 8247/3, 8249/3, 8574/3, 
Merkel cell carcinoma |1|8247/3, 
Perivascular dermatitis |0|
Neurotized intradermal nevus |0|
endocervical adenocarcinoma |2|8384/3, 8482/3, 
Schneiderian papilloma |2|8121/0, 8121/1, 
Dermal fibrosis |0|
vascular ectasia |0|
Basal cell carcinoma, nodular type, pigmented |0|
Lichenoid actinic keratosis |0|
Intraductal papilloma |1|8503/0, 
adenomatous change |0|
Capillary hemangioma |1|9131/0, 
Tubulovillous adenoma |2|8263/0, 8263/2, 
Adenomatous polyp |4|8210/0, 8210/2, 8210/3, 8213/0, 
Angiolipoma |2|8861/0, 8856/0, 
hyperplastic change |0|
Leiomyomata |0|
non-small cell carcinoma |1|8046/3, 
tubular adenoma |4|8211/0, 8210/2, 8210/3, 8640/1, 
papillary urothelial carcinoma |2|8130/2, 8130/3, 
chronic gastritis |0|
Intestinal (goblet cell) metaplasia |0|
Barret esophagus |0|
hyperplastic polyp |1|8213/0, 
acrochordon |0|
Fibroepithelial polyp |0|
cystic follicles |0|
serosal adhesions |0|
paratubal adhesions |0|
Leiomyomas |0|
ductal carcinoma |11|8230/2, 8552/3, 8154/3, 8201/2, 8201/3, 8500/2, 8500/3, 8501/2, 8503/2, 8507/2, 8522/3, 
squamous dysplasia |2|8077/0, 8077/2, 
squamous metaplasia |1|8570/3, 
hyperplastic polyp |1|8213/0, 
keratinous cyst |0|
neoplasm |23|8000/0, 8000/1, 8000/3, 8000/6, 8000/9, 8130/1, 8163/0, 8163/2, 8480/1, 9920/3, 9960/3, 9975/3, 8452/1, 8453/0, 8453/2, 8453/3, 8470/0, 8470/2, 8470/3, 8503/0, 8503/2, 8503/3, 9727/3, 
Follicular lesion |0|
Fibroepithelial papule |0|
Squamous carcinoma |20|8052/2, 8052/3, 8070/2, 8070/3, 8070/6, 8071/3, 8072/3, 8073/3, 8074/3, 8075/3, 8076/2, 8076/3, 8078/3, 8083/3, 8084/3, 8045/3, 8051/3, 8081/2, 8094/3, 8560/3, 
neuroma |3|9570/0, 9550/0, 9560/0, 
Pigmented basal cell carcinoma, nodular type |0|
tubular adenomas |0|
Endosalpingosis |0|
chronic cervicitis |0|
paratubal cyst |0|
Fibroadenoma |5|9010/0, 9011/0, 9012/0, 9016/0, 9030/0, 
keratoacanthomatous |0|
Melanosis coli |0|
Chronic active gastritis |0|
Prostatic adenocarcinoma |0|
compound nevi |0|
intradermal nevi |0|
Fibroepithelial tag |0|
Apocrine hidrocystoma |0|
melanocytic hyperplasia |0|
Chronic dermatitis |0|
epidermal hyperplasia |0|
Keratinizing basal cell carcinoma |0|
Pigmented basal cell carcinoma |1|8090/3, 
rosacea papule |0|
Folliculitis |0|
granulomatous perifolliculitis |0|
epidermoid cyst |0|
Lentigo maligna |2|8742/2, 8742/3, 
Solar lentigo |0|
Basosquamous cell carcinoma |0|
acantholytic |1|8075/3, 
Nodular basal cell carcinoma |1|8097/3, 
angiofibroma |1|9160/0, 
Syringoma |3|8407/0, 8940/0, 8940/3, 
telangiectasia |0|
inflamed cyst |0|
fibroid |1|8890/0, 
Papillary hidroadenoma |0|
Atypical spindle cell lesion |0|
actinic keratoses |0|
Polypoid compound nevus |0|
Polypoid intradermal nevus |0|
angiokeratoma |1|9141/0, 
Eccrine hidrocystoma |0|
intramural leiomyomas |0|
Seminoma |4|9061/3, 9062/3, 9063/3, 9085/3, 
fibroma |15|8391/0, 8810/0, 8810/1, 8812/0, 8813/0, 8823/0, 9241/0, 9262/0, 9274/0, 9321/0, 9322/0, 9330/0, 8811/0, 8821/1, 8966/0, 
Hemorrhagic corpus luteum |0|
Endometriosis |1|8931/3, 
adenomyosis |0|
Intramural leiomyoma |0|
chronic endocervicitis |0|
Papillary |53|8050/2, 8050/3, 8052/2, 8052/3, 8130/1, 8130/2, 8130/3, 8163/2, 8260/0, 8260/3, 8340/3, 8341/3, 8342/3, 8343/3, 8344/3, 8347/3, 8405/0, 8406/0, 8408/0, 8408/1, 8408/3, 8450/0, 8450/3, 8451/1, 8453/0, 8453/2, 8453/3, 8460/0, 8460/3, 8461/3, 8462/1, 8463/1, 8471/0, 8471/3, 8473/1, 8503/2, 8503/3, 8504/0, 9135/1, 9352/1, 9393/3, 9395/3, 9509/1, 9538/3, 8163/0, 8263/0, 8350/3, 8452/1, 8503/0, 8504/3, 8561/0, 9013/0, 9052/0, 
urothelial transitional cell carcinoma |0|
mucus cysts |0|
adenomyomas |0|
Renal cell carcinoma, clear cell type |0|
chronic cystitis |0|
Papillary urothelial transitional cell carcinoma |0|
dysplasia |15|9985/3, 8077/0, 8077/2, 8148/0, 8148/2, 8163/0, 8163/2, 8453/0, 8453/2, 8470/0, 8470/2, 8503/2, 9272/0, 9275/0, 9895/3, 
squamous dysplasia |2|8077/0, 8077/2, 
Eccrine spiradenoma |2|8403/0, 8403/3, 
transitional cell carcinoma |6|8120/2, 8120/3, 8122/3, 8130/2, 8130/3, 8131/3, 
Angioleiomyoma |1|8894/0, 
hyperplastic polyps |0|
Palisaded encapsulated neuroma |0|
Atypical compound nevus |0|
neoplasia |12|8077/0, 8077/2, 8148/0, 8148/2, 8163/2, 8163/0, 8470/0, 8470/2, 8500/2, 8503/0, 8503/2, 9064/2, 
hyperplasia |0|
urothelial carcinoma |4|8120/2, 8120/3, 8130/2, 8130/3, 
papillary transitional cell carcinoma |2|8130/2, 8130/3, 
serous cystadenoma |4|8441/0, 8442/1, 8460/0, 8462/1, 
Paratubal cysts |0|
follicular adenoma |3|8330/0, 8330/1, 8290/0, 
endocervical gland dysplasia |0|
serrated adenoma |1|8213/0, 
Trichilemmoma |1|8102/0, 
Palisaded and encapsulated neuroma |0|
Nail plate hypertrophy |0|
Basosquamous carcinoma |1|8094/3, 
granulomatous dermatitis |0|
Basal cell carcinoma, fibroepitheliomatous type |0|
Chronic myelogenous leukemia |1|9875/3, 
Spitz nevus |1|8770/0, 
Pleomorphic fibroma |0|
Hidrocystoma |1|8404/0, 
Eccrine acrospiroma, hidradenoma type |0|
Nodular |16|8097/3, 8402/0, 8402/3, 8721/3, 9471/3, 9659/3, 9663/3, 9664/3, 9665/3, 9667/3, 8832/0, 9591/3, 9690/3, 9691/3, 9695/3, 9698/3, 
SCC |0|
Trichofolliculoma |1|8101/0, 
esophagitis |0|
superficial folliculitis |0|
Crateriform |0|
Pilomatricoma |2|8110/0, 8110/3, 
Acral compound nevus |0|
malignant cells |3|8001/1, 8001/3, 9064/2, 
Hyperplastic gastric polyp |0|
gastropathy |0|
rhinophyma, fibroangiomatous type |0|
active colitis |0|
squamous epithelial dysplasia |0|
hemosiderosis |0|
fibrosis |3|9654/3, 8141/3, 8832/0, 
acute myeloid leukemia |14|9808/3, 9809/3, 9840/3, 9861/3, 9871/3, 9872/3, 9873/3, 9874/3, 9895/3, 9863/3, 9867/3, 9897/3, 9910/3, 9920/3, 
chronic myeloproliferative disorder |1|9960/3, 
squamous papilloma |3|8052/0, 8053/0, 8560/0, 
follicular lymphomas |0|
B-cells |0|
mantle cell lymphoma |1|9673/3, 
small lymphocytic lymphoma |2|9670/3, 9823/3, 
Follicular lymphoma |4|9690/3, 9691/3, 9695/3, 9698/3, 
lymphoma |57|9590/3, 9591/3, 9596/3, 9597/3, 9650/3, 9651/3, 9652/3, 9653/3, 9654/3, 9655/3, 9659/3, 9663/3, 9664/3, 9665/3, 9667/3, 9670/3, 9671/3, 9673/3, 9675/3, 9678/3, 9679/3, 9680/3, 9684/3, 9687/3, 9688/3, 9689/3, 9690/3, 9691/3, 9695/3, 9698/3, 9699/3, 9702/3, 9705/3, 9708/3, 9709/3, 9712/3, 9714/3, 9716/3, 9717/3, 9719/3, 9725/3, 9726/3, 9727/3, 9728/3, 9729/3, 9735/3, 9737/3, 9738/3, 9811/3, 9815/3, 9816/3, 9823/3, 9827/3, 9755/3, 9764/3, 9835/3, 9837/3, 
CLL |0|
marginal zone B-cell lymphoma |2|9689/3, 9699/3, 
Acral junctional nevus |0|
nodular type |1|9691/3, 
(pedunculated lipofibroma) |ErrorNevus lipomatosus |0|
HPV cytopathic effect |0|
verrucoid keratosis |0|
Condyloma acuminata |0|
Organizing thrombus |0|
fibrous papule (angiofibroma) |0|
Sebaceous carcinoma |1|8410/3, 
Desmoplastic squamous cell carcinoma |0|
intraductal tumor |2|8453/0, 8503/2, 
desmoplastic tricholemmoma |0|
morpheaform basal cell carcinoma |0|
Granuloma annulare |0|
cord lipoma |0|
subjacent keloid |0|
Apocrine hydrocystoma |0|
adnexal tumor |1|8390/0, 
osteoma cutis |0|
follicular keratosis |0|
(pedunculated fibrolipoma) |Errorbenign nevus |0|
Clear cell acanthoma |0|
Urethral polyp |0|
focal fibrosis |0|
Fibroadenomas |0|
Atypical fibroxanthoma |1|8830/1, 
nevocellular melanocytic intradermal nevus |0|
Carcinoid tumor |4|8240/1, 8240/3, 8249/3, 8241/3, 
Benign neoplasm large bowel |0|
gastritis |0|
tubulovillous adenoma |2|8263/0, 8263/2, 
prostate cancer |0|
Inflammatory polyp |0|
signet ring cell type |0|
signet ring cell type adenocarcinoma |0|
paraganglioma |13|8680/0, 8680/1, 8680/3, 8681/1, 8682/1, 8683/0, 8693/1, 8693/3, 8690/1, 8691/1, 8692/1, 8700/0, 8700/3, 
ischemic colitis |0|
chronic active colitis |0|
Chronic distal esophagitis |0|
Benign neoplasm stomach |0|
follicular neoplasm |0|
Morto neuroma |0|
Lymphangioma |4|9170/0, 9171/0, 9172/0, 9173/0, 
comedonecrosis |0|
small cell neuroendocrine carcinoma |1|8041/3, 
Candida esophagitis |0|
Chronic cholecystitis |0|
adenomyoma |1|8932/0, 
cholelithiasis |0|
chronic organizing pneumonitis |0|
chronic pneumonitis |0|
sclerosing basal cell carcinoma |1|8092/3, 
Ganglioneuroma |1|9490/0, 
acute myelomonocytic leukemia |2|9867/3, 9871/3, 
chronic myelomonocytic leukemia |2|9945/3, 9946/3, 
Multiple myeloma |1|9732/3, 
lentigo maligna type |0|
flat urothelial carcinoma |0|
Palisaded encapsulating neuroma |0|
plasma cell myeloma |1|9732/3, 
fibromatosis |3|8821/1, 8822/1, 8824/1, 
papillary carcinoma |18|8050/2, 8050/3, 8052/2, 8052/3, 8130/2, 8130/3, 8340/3, 8342/3, 8343/3, 8344/3, 8347/3, 8453/2, 8453/3, 8461/3, 8260/3, 8350/3, 8503/2, 8503/3, 
Nevus lipomatosis |0|
orthohyperkeratosis |0|
Hurthle cell neoplasm |0|
Soft fibroma |0|
fibrous tissue |0|
Basal cell carcinoma, sclerosing (morpheaform) type |0|
Kapos sarcoma |0|
GIST |3|8936/0, 8936/1, 8936/3, 
Gastrointestinal stromal tumor |3|8936/0, 8936/1, 8936/3, 
squamous mucosa |0|
Reflux esophagitis |0|
Mature cystic teratoma |0|
crateriform squamous cell carcinoma |0|
calcified pilomatricoma |0|
Chronic perifolliculitis |0|
Basal cell carcinoma, pigmented |0|
hyperkeratotic squamous epithelium |0|
Adenomatous nodules |0|
clear cell carcinoma |4|8084/3, 8174/3, 8310/3, 8322/3, 
Nodular prostatic hyperplasia |0|
apocrine metaplasia |1|8573/3, 
ductal hyperplasia |0|
intralobular fibrosis |0|
acantholysis |0|
breast carcinoma |3|8502/3, 8541/3, 8543/3, 
infiltrating carcinoma |8|8092/3, 8500/3, 8521/3, 8522/3, 8523/3, 8524/3, 8541/3, 8520/3, 
Simple cyst |0|
Adenomyomatous nodules |0|
Pseudoangiomatous stromal hyperplasia |0|
renal neoplasm |0|
oncocytoma |1|8290/0, 
Dilated pore |0|
Chondrodermatitis nodularis helicis |0|
mucous cyst |0|
Small cell carcinoma |6|8041/3, 8043/3, 8044/3, 8045/3, 8046/3, 8073/3, 
hyperkeratosis |0|
epithelial hyperplasia |0|
Desmoplastic trichilemmoma |0|
renal clear cell carcinoma |0|
lesion |2|8762/1, 9766/1, 
chronic lymphocytic leukemia |1|9823/3, 
lymphocytic lymphoma |5|9670/3, 9823/3, 9591/3, 9673/3, 9675/3, 
Benign neoplasm skin of upper limb, including shoulder |0|
mixed tumor |9|8154/3, 8592/1, 8940/3, 8950/3, 8951/3, 9085/3, 8940/0, 8990/1, 9362/3, 
chondroid syringoma |2|8940/0, 8940/3, 
Pigmented spindle cell nevus |1|8770/0, 
Plasma cell neoplasm |0|
plasmacytoma |2|9731/3, 9734/3, 
kappa light chain restricted plasma cell neoplasm |0|
Traditional serrated adenoma |1|8213/0, 
Parathyroid adenoma |0|
lobular carcinoma |5|8520/2, 8520/3, 8522/2, 8522/3, 8524/3, 
Sebaceous adenoma |1|8410/0, 
Epidermolytic acanthoma |0|
Acute folliculitis |0|
Verruca plana |0|
Acantholytic dyskeratosis |0|
lichen simplex chronicus |0|
cystic |18|8200/3, 8444/1, 8454/0, 8462/1, 8472/1, 8508/3, 8959/0, 8959/1, 8959/3, 9055/1, 9173/0, 8452/1, 8470/0, 8470/2, 8470/3, 9055/0, 9080/0, 9400/3, 
Pilomatrixoma |2|8110/0, 8110/3, 
calcifying epithelioma of Malherbe |1|8110/0, 
Apocrine cystadenoma |1|8401/0, 
villous adenoma |3|8261/0, 8261/2, 8261/3, 
Cortical inclusion cysts |0|
squamous carcinoma |20|8052/2, 8052/3, 8070/2, 8070/3, 8070/6, 8071/3, 8072/3, 8073/3, 8074/3, 8075/3, 8076/2, 8076/3, 8078/3, 8083/3, 8084/3, 8045/3, 8051/3, 8081/2, 8094/3, 8560/3, 
nevocellular nevus |0|
Acantholytic acanthoma |0|
nevocellular |0|
(PASH) |0|
pleomorphic adenoma |2|8940/0, 8941/3, 
Perifolliculitis |0|
Eccrine acrospiroma, hidroadenoma-type |0|
Lichenoid dermatitis |0|
actinic keratonosis |0|
multinucleate cell angiohistiocytoma |0|
Fibrohistiocytic proliferation |0|
endometrial adenocarcinoma |0|
Prurigo nodularis |0|
Hemosiderotic dermatofibroma |0|
squamous cell carcinoma |20|8052/2, 8052/3, 8070/2, 8070/3, 8070/6, 8071/3, 8072/3, 8073/3, 8074/3, 8075/3, 8076/2, 8076/3, 8078/3, 8083/3, 8084/3, 8045/3, 8051/3, 8081/2, 8094/3, 8560/3, 
follicular hyperplasia |0|
Dermatofibrosarcoma protuberans |2|8833/3, 8832/3, 
phylloides tumor |0|
transitional cell papilloma |4|8120/0, 8121/1, 8120/1, 8121/0, 
chronic active proctitis |0|
epidermal nevus |1|8760/0, 
Ruptured folliculitis |0|
crateriform squamous cell carcinoma |0|
Proliferating pilar tumor |0|
Calcified cyst |0|
mucinous carcinomas |0|
mucinous (colloid) carcinoma |0|
Basal cell carcinoma, fibroepithelioma type |0|
Tricholemmoma |0|
atypical carcinoid |1|8249/3, 
Page disease |0|
contact dermatitis |0|
melanoma, nodular type |0|
Mucosal hyperplasia |0|
submucosal fibrosis |0|
Acanthosis |0|
Granular cell tumor |3|9580/0, 9580/3, 9582/0, 
urothelial neoplasm |1|8130/1, 
dysplastic squamous epithelium |0|
pearly penile papule |0|
Verrucoid squamous cell carcinoma |0|
Junctional nevus with ascending cells (acral nevus) |0|
serous adenocarcinoma |2|8441/3, 8460/3, 
fibrolipoma |1|8851/0, 
Porokeratosis |0|
lentigo maligna-type |0|
Glomangioma |1|8712/0, 
spindle cell (Spitz) nevus |0|
Chronic cystic cervicitis |0|
Atrophic ovaries |0|
hyalinized fibroadenoma |0|
intracapsular nodal nevus |0|
Concurrent perifolliculitis |0|
Mucinous adenocarcinoma |2|8480/3, 8482/3, 
intraductal carcinoma |10|8453/2, 8453/3, 8500/2, 8507/2, 8522/2, 8543/3, 8230/2, 8503/2, 8503/3, 8522/3, 
papillary renal cell carcinoma |1|8260/3, 
(HGPIN) |0|
urothelium |0|
ductal adenocarcinoma |0|
papillomatosis |4|8060/0, 8264/0, 8505/0, 8506/0, 
cystic dilatation |0|
adenosis |0|
comedo type |2|8201/3, 8501/2, 
adenosquamous carcinoma |1|8560/3, 
Serous cystadenofibroma |3|9014/0, 9014/1, 9014/3, 
mucinous carcinoma |8|8252/3, 8253/3, 8254/3, 8453/2, 8453/3, 8470/3, 8480/3, 8523/3, 
Generalized hyperplasia |0|
megakaryocytic dysplasia |0|
Pigmented squamous cell carcinoma |0|
fibroadipose tissue |0|
papillary transition cell carcinoma |0|
Squamous epithelial hyperplasia |0|
Submucosal fibroma |0|
parakeratosis |0|
Eccrine acrospiroma, poroma type |0|
Condyloma acuminatum |0|
suppurative dermatitis |0|
Nodular lymphohistiocytic |0|
small mature B-cell chronic lymphoproliferative disorder |0|
Moderate pancytopenia |0|
serrated adenomas |0|
non-caseating granuloma |0|
melanocytic nevus |2|8720/0, 8761/3, 
Right breast cancer |0|
Meningioma |12|9530/0, 9530/3, 9531/0, 9532/0, 9533/0, 9534/0, 9535/0, 9537/0, 9538/1, 9538/3, 9539/1, 9150/1, 
Atypical papillary neoplasm |0|
fibrotic nodule |0|
Duodenal adenoma |0|
prostate primary |0|
Pedunculated tubular adenoma |0|
lymphoid hyperplasia |0|
HPV effect |0|
Adenomatous epithelium |0|
Combined nevus |0|
Spindle cell melanoma |4|8770/3, 8772/3, 8773/3, 8774/3, 
chronic prostatitis |0|
Fibrous serosal adhesions |0|
pleomorphic leiomyoma |1|8893/0, 
Compound Spitz nevus |0|
Syringocystadenoma papilliferum |1|8406/0, 
mucinous cystadenoma |4|8470/0, 8471/0, 8473/1, 8472/1, 
pulmonary adenocarcinoma |0|
compound melanocytic nevus |0|
Osteochondroma |1|9210/0, 
Pseudoepitheliomatous hyperplasia |0|
Basal cell carcinoma, nodular and pigmented |0|
cystic hyperplasia |0|
cystitis cystica |0|
Cervical squamous metaplasia |0|
Pleomorphic carcinoma |3|8022/3, 8175/3, 8941/3, 
Endocervical polyp |0|
Papillary serous carcinoma |1|8461/3, 
Intraepithelial dysplasia |4|8077/0, 8077/2, 8148/0, 8148/2, 
Cylindroma |2|8200/0, 8200/3, 
intradermal nevocellular nevus |0|
(SCC) |0|
Keratin granuloma |0|
Warthi tumor |0|
intraepithelial neoplasia |11|8077/0, 8077/2, 8148/0, 8148/2, 8163/2, 8163/0, 8470/0, 8470/2, 8500/2, 8503/0, 8503/2, 
suppurative folliculitis |0|
ruptured follicle |0|
squamous cell differentiation |0|
Smooth muscle hamartoma |0|
nodular basal cell carcinoma, nodular type |0|
(Hashimot thyroiditis) |ErrorLymphocytic thyroiditis |0|
paracortical hyperplasia |0|
Intradermal melanocytic nevus |0|
Acrochordons |0|
melanocytic atypia |0|
inflammatory polyps |0|
inverted papilloma |3|8053/0, 8121/1, 8121/0, 
Flat transitional cell carcinoma |0|
mixed germ cell tumor |1|9085/3, 
embryonal carcinoma |5|9070/3, 9071/3, 9072/3, 9081/3, 9101/3, 
hemorrhagic crust |0|
Myofibroma |1|8824/0, 
BCC |0|
Lipofibroma |0|
Myxoma |3|8840/0, 9320/0, 9562/0, 
keratosis |0|
squamous epithelial cells |0|
Spindle cell neoplasm |0|
primary myelofibrosis |1|9961/3, 
squamous intraepithelial lesion |0|
Schwannoma |3|9560/0, 9560/1, 9561/3, 
Sclerosing intradermal tumor |0|
nevus sebaceus |0|
lentigo maliga |0|
Glomus tumor |3|8690/1, 8711/0, 8711/3, 
Acral lentigo |0|
Cystic follicle |0|
Myometrial leiomyomas |0|
Cystic ovarian follicles |0|
Adenomatoid tumor |2|9054/0, 9300/0, 
follicular mucinosis |0|
Folliculotropic mycosis fungoides |0|
granulomatous perifolliculis |0|
Verruciform xanthoma |0|
Dermatofibroma, hemosiderotic type |0|
Folliculosebaceous cystic hamartoma |0|
Lentigo Simplex |0|
